projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.66,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.63,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,3.51,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,3.18,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,5.72,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.48,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.55,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,4.93,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.99,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.83,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.54,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,5.29,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.35,,,,,,,,
